# tag pevalue tag_id
CUII 14.610000 2550
CURO 10.730000 2557
CUZ 59.820000 2563
CVA 370.250000 2564
CVBF 14.790000 2566
CVCO 26.820000 2567
CVCY 12.510000 2568
CVLY 12.150000 2577
CVR 47.690000 2580
CVS 15.410000 2581
CW 24.870000 2587
CWBC 10.620000 2588
CWCO 111.910000 2593
CWEN 53.660000 2594
CWH 9.405000 2597
CWST 35.870000 2602
CWT 24.710000 2603
CXDO 12.950000 2608
CYAN 15.700000 2611
CYBE 35.060000 2613
CYGIY 85.420000 2626
CYH 3.920000 2627
CZFS 8.199000 2640
CZMWY 86.140000 2641
CZNC 15.930000 2643
CZWI 9.582000 2646
D 72.510000 2648
DAC 3.227000 2654
DAKT 30.010000 2661
DANOY 20.880000 2664
DAR 31.550000 2667
DASTY 93.450000 2671
DAVA 129.310000 2672
DBOEY 24.770000 2680
DBSDY 14.420000 2684
DCI 32.080000 2700
DCI.L 32.080000 2701
DCO 23.180000 2703
DCOM 73.900000 2704
DCP 22.080000 2705
DCYHY 697.380000 2713
DD 14.790000 2714
DDS 11.610000 2720
DE 24.890000 2722
DEA 98.710000 2723
DECK 24.900000 2726
DEI 182.740000 2728
DELL 19.150000 2732
DENN 219.750000 2736
DEO 74.050000 2737
DFH 0.099000 2751
DFIN 212.930000 2753
DFKCY 40.300000 2754
DFNS 44.550000 2755
DFS 13.200000 2758
DFS.L 13.200000 2759
DG.PA 18.670000 2761
DG 18.670000 2762
DGICA 7.495000 2765
DGICB 7.240000 2766
DGII 65.380000 2767
DGLY 3.625000 2769
DGX 9.998000 2779
DHI 11.040000 2785
DHIL 11.000000 2786
DHR 40.340000 2787
DHT 5.203000 2789
DIFTY 9.610000 2795
DIOD 31.930000 2802
DISCA 21.840000 2805
DISCB 47.550000 2806
DISCK 20.440000 2807
DISH 11.220000 2808
DISH.L 11.220000 2809
DIT 7.398000 2810
DJCO 3.741000 2812
DKILY 41.060000 2816
DKL.L 10.400000 2817
DKS 9.218000 2819
DLB 33.060000 2824
DLHC 19.620000 2828
DLR 98.420000 2831
DLTH 39.270000 2832
DLTR 15.680000 2833
DLX 20.710000 2834
DMLRY 10.440000 2840
DMZPY 62.700000 2847
DNHBY 15.290000 2852
DNIYY 21.280000 2853
DNKEY 12.200000 2855
DNLI 276.480000 2857
DNNGY 36.880000 2861
DOC 56.660000 2868
DOC 56.660000 2869
DOOR 34.550000 2878
DORM 28.280000 2880
DOV 29.510000 2882
DOW 26.110000 2883
DOX 15.310000 2884
DOYU 132.150000 2885
DPSGY 24.800000 2892
DPZ 34.620000 2898
DQ 31.790000 2899
DRE 48.400000 2903
DSCSY 35.130000 2918
DSDVY 57.040000 2920
DSGX 97.400000 2925
DSKE 42.590000 2926
DSNKY 96.370000 2929
DSP 569.030000 2930
DSS 92.650000 2932
DT 199.000000 2937
DTCWY 12.820000 2938
DTE.DE 18.720000 2939
DTE 18.720000 2940
DTEGY 19.980000 2943
DUK 57.930000 2954
DVA 18.500000 2961
DVCR 2.820000 2963
DVD 11.250000 2964
DWAHY 10.560000 2970
DX 1.243000 2978
DX/.L 1.243000 2979
DXCM 70.360000 2982
DXF 14.470000 2983
DY 35.680000 2991
EA 49.980000 3000
EACO 15.180000 3003
EAF 8.623000 3005
EARN 4.090000 3007
EAT.L 3072.500000 3010
EAT 3072.500000 3011
EBAY 14.780000 3014
EBCOY 16.370000 3015
EBF 22.540000 3017
EBIX 9.448000 3018
EBKDY 18.970000 3019
EBMT 7.533000 3020
EBR 10.420000 3023
EBRPY 14.730000 3026
EBS 8.447000 3027
EBS 8.447000 3028
EBSB 14.600000 3029
EBTC 10.910000 3030
EC 19.020000 3031
ECHO.L 31.340000 3036
ECHO 31.340000 3037
ECIA 15.420000 3038
ECOM 32.070000 3045
ECOM.L 32.070000 3046
ECOM 32.070000 3047
ECPG 4.634000 3049
ED 22.780000 3053
EDNMY 49.360000 3066
EDU 42.620000 3076
EDUC 9.600000 3077
EEIQ 41.310000 3084
EFC 4.485000 3092
