# tag, name, tag_id
ALXN, Alexion Pharmaceuticals Inc, 686
ALXO, ALX Oncology Holdings Inc, 687
AM, Antero Midstream Corp, 689
AM.PA, Antero Midstream Corp, 690
AMADY, Amadeus IT Group SA, 692
AMAL, Amalgamated Financial Corp, 694
AMAL.L, Amalgamated Financial Corp, 695
AMAO, American Acquisition Opportunity Inc, 696
AMAT, Applied Materials Inc, 698
AMBA, Ambarella Inc, 699
AMBBY, Ambu A/S, 700
AMBC, Ambac Financial Group Inc, 701
AMBK, American Bank Inc, 702
AMBO, Ambow Education Holding Ltd, 703
AMBZ, American Business Bank, 704
AMC, AMC Entertainment Holdings Inc, 705
AMC.L, AMC Entertainment Holdings Inc, 706
AMCR, Amcor PLC, 707
AMCT, American Education Center Inc, 708
AMCX, AMC Networks Inc, 709
AMD.DE, Advanced Micro Devices Inc, 710
AMD, Advanced Micro Devices Inc, 711
AME, AMETEK Inc, 714
AMED, Amedisys Inc, 715
AMEH, Apollo Medical Holdings Inc, 716
AMEN, AMEN Properties Inc, 718
AMFC, AMB Financial Corp, 719
AMG, Affiliated Managers Group Inc, 720
AMG.AS, Affiliated Managers Group Inc, 721
AMGN, Amgen Inc, 722
AMH, American Homes 4 Rent, 724
AMHC, Amplitude Healthcare Acquisition Corp, 725
AMIGY, Admiral Group PLC, 726
AMK, AssetMark Financial Holdings Inc, 727
AMKBY, A. P. Moller Maersk A/S, 728
AMKR, Amkor Technology Inc, 729
AMLM, American Lithium Minerals Inc, 731
AMN, AMN Healthcare Services Inc, 733
AMNB, American National Bankshares Inc, 734
AMNF, Armanino Foods of Distinction Inc, 735
AMOT, Allied Motion Technologies Inc, 738
AMOV, America Movil SAB de CV, 739
AMP, Ameriprise Financial Inc, 740
AMPE, Ampio Pharmaceuticals Inc, 741
AMPG, AmpliTech Group Inc, 742
AMPH, Amphastar Pharmaceuticals Inc, 743
AMPI, Advanced Merger Partners Inc, 744
AMPY, Amplify Energy Corp, 745
AMR, Alpha Metallurgical Resources Inc, 746
AMRB, American River Bankshares, 747
AMRC, Ameresco Inc, 748
AMRK, A-Mark Precious Metals Inc, 749
AMRN, Amarin Corp PLC, 750
AMRS, Amyris Inc, 751
AMRX, Amneal Pharmaceuticals Inc, 752
AMS.L, American Shared Hospital Services, 753
AMS, American Shared Hospital Services, 754
AMS, American Shared Hospital Services, 755
AMS.SW, American Shared Hospital Services, 756
AMSC, American Superconductor Corp, 757
AMSF, AMERISAFE Inc, 758
AMSIY, ArcelorMittal South Africa Ltd, 759
AMSSY, ams AG, 760
AMST, Amesite Inc, 761
AMSWA, American Software Inc, 762
AMT, American Tower Corp, 763
AMTB, Amerant Bancorp Inc, 764
AMTBB, Amerant Bancorp Inc, 765
AMTI, Applied Molecular Transport Inc, 767
AMTX, Aemetis Inc, 768
AMWD, American Woodmark Corp, 770
AMWL, American Well Corp, 771
AMX, America Movil SAB de CV, 772
AMYT, Amryt Pharma PLC, 773
AMYT.L, Amryt Pharma PLC, 774
AMZN, Amazon.com Inc, 779
AN, AutoNation Inc, 781
ANAB, AnaptysBio Inc, 783
ANAC, Arctos NorthStar Acquisition Corp, 784
ANAT, American National Group Inc, 785
ANDA, Andina Acquisition Corp III, 787
ANDE, Andersons Inc, 788
ANDR, Andrea Electronics Corp, 789
ANEB, Anebulo Pharmaceuticals Inc, 790
ANET, Arista Networks Inc, 791
ANF, Abercrombie & Fitch Co, 792
ANGI, Angi Inc, 794
ANGN, Angion Biomedica Corp, 795
ANGO, AngioDynamics Inc, 796
ANGPY, Anglo American Platinum Ltd, 797
ANIK, Anika Therapeutics Inc, 801
ANIOY, Acerinox SA, 802
ANIP, ANI Pharmaceuticals Inc, 803
ANIX, Anixa Biosciences Inc, 804
ANNX, Annexon Inc, 805
ANPC, AnPac Bio-Medical Science Co Ltd, 806
ANPDY, ANTA Sports Products Ltd, 807
ANSLY, Ansell Ltd, 808
ANSS, Ansys Inc, 809
ANTE, AirNet Technology Inc, 810
ANTM, Anthem Inc, 811
ANVS, Annovis Bio Inc, 813
ANY, Sphere 3D Corp, 816
ANZBY, Australia and New Zealand Banking Group Ltd, 817
ANZU, Anzu Special Acquisition Corp I, 818
AON, Aon PLC, 823
AONE, One, 824
AONNY, AEON Co Ltd, 825
AOS, A.O. Smith Corp, 826
AOSL, Alpha & Omega Semiconductor Ltd, 827
AOUT, American Outdoor Brands Inc, 828
AOZOY, Aozora Bank Ltd, 830
AP, Ampco-Pittsburgh Corp, 831
APA, APA Corp, 832
APAM.AS, Artisan Partners Asset Management Inc, 833
APAM, Artisan Partners Asset Management Inc, 834
APD, Air Products & Chemicals Inc, 837
APDN, Applied DNA Sciences Inc, 838
APEI, American Public Education Inc, 839
APELY, Alps Alpine Co Ltd, 840
APEN, Apollo Endosurgery Inc, 841
APG, APi Group Corp, 844
APGB, Apollo Strategic Growth Capital II, 845
APH.L, Amphenol Corp, 846
APH, Amphenol Corp, 847
API, Agora Inc, 848
APLE, Apple Hospitality REIT Inc, 849
APLO, Apollo Bancorp Inc, 850
APLS, Apellis Pharmaceuticals Inc, 851
APLS.L, Apellis Pharmaceuticals Inc, 852
APLT, Applied Therapeutics Inc, 853
APM, Aptorum Group Ltd, 854
APNHY, Aspen Pharmacare Holdings Ltd, 855
APO, Apollo Global Management Inc, 856
APOG, Apogee Enterprises Inc, 857
APOP, Cellect Biotechnology Ltd, 858
APP.L, AppLovin Corp, 859
APP, AppLovin Corp, 860
APPF, AppFolio Inc, 861
APPH, AppHarvest Inc, 862
APPN, Appian Corp, 863
APPS, Digital Turbine Inc, 864
APR, Apria Inc, 866
APRE, Aprea Therapeutics Inc, 867
APRN, Blue Apron Holdings Inc, 868
APSG, Apollo Strategic Growth Capital, 869
APT, Alpha Pro Tech Ltd, 870
APTL, Alaska Power & Telephone Co, 872
APTO, Aptose Biosciences Inc, 873
APTS, Preferred Apartment Communities Inc, 874
APTV, Aptiv PLC, 875
APTX, Aptinyx Inc, 876
APVO, Aptevo Therapeutics Inc, 877
APWC, Asia Pacific Wire & Cable Corp Ltd, 878
APXT, Apex Technology Acquisition Corp, 879
APYX, Apyx Medical Corp, 880
AQB, AquaBounty Technologies Inc, 881
AQMS, Aqua Metals Inc, 882
AQN, Algonquin Power & Utilities Corp, 883
AQSP, Acquired Sales Corp, 885
AQST, Aquestive Therapeutics Inc, 886
AQUA, Evoqua Water Technologies Corp, 887
AR, Antero Resources Corp, 889
ARAV, Aravive Inc, 890
ARAY, Accuray Inc, 891
ARBG, Aequi Acquisition Corp, 894
ARBV, American Riviera Bank, 895
ARC, ARC Document Solutions Inc, 896
ARCB, ArcBest Corp, 898
ARCC, Ares Capital Corp, 899
ARCE, Arco Platform Ltd, 900
ARCH, Arch Resources Inc, 901
ARCO, Arcos Dorados Holdings Inc, 902
ARCT, Arcturus Therapeutics Holdings Inc, 903
ARD, Ardagh Group SA, 904
ARDS, Aridis Pharmaceuticals Inc, 905
ARDX, Ardelyx Inc, 906
