# tag pbvalue
BFAM 6.282000
BFC 1.820000
BFI 0.753600
BFIN 0.913600
BFLBY 0.926000
BFLY 5.026000
BFS 4.001000
BFST 1.204000
BG 2.069000
BG 2.069000
BGAOY 1.897000
BGCP 2.735000
BGFV 2.830000
BGI 122.720000
BGNE 8.052000
BGS 2.305000
BGS.L 2.305000
BGSF 1.843000
BGSX 1.325000
BH 0.769000
BHAT 0.668000
BHB 1.125000
BHE 1.149000
BHF 0.277300
BHLB 1.203000
BHP 3.839000
BHP.L 3.839000
BHSE 1.240000
BHTG 17.020000
BHWB 1.062000
BICEY 1.969000
BIDU 1.941000
BIG 1.776000
BIGC 18.390000
BIIB 3.773000
BILI 10.770000
BILL 14.090000
BIMI 1.310000
BIO 1.677000
BIO 1.677000
BIOC 2.288000
BIOL 3.145000
BIOT 1.308000
BIOT.L 1.308000
BIOX 10.260000
BIP 2.919000
BIVI 17.650000
BJ 14.730000
BJRI 3.988000
BK 1.129000
BKCC 0.939300
BKD 1.828000
BKE 4.864000
BKGM 0.693900
BKH 1.566000
BKHYY 0.904400
BKI 4.420000
BKNG 20.150000
BKR 1.945000
BKSC 2.065000
BKTI 2.194000
BKU 1.458000
BKYI 1.618000
BL 17.770000
BLCT 2.205000
BLD 4.743000
BLDE 2.865000
BLDP 3.636000
BLDR 1.877000
BLFS 6.436000
BLHEY 0.992500
BLI 12.370000
BLIN 3.029000
BLK 3.777000
BLKB 8.271000
BLL 7.629000
BLMN 67.510000
BLNK 6.027000
BLPH 1.228000
BLRX 5.992000
BLSA 1.343000
BLSFY 1.567000
BLTS 11619.790000
BLUE 1.782000
BLX 0.583300
BMA 0.545000
BMBL 3.964000
BMI 7.541000
BMNM 0.446900
BMO 1.656000
BMRA 4.248000
BMRC 1.271000
BMRN 3.394000
BMRRY 6.497000
BMTC 1.512000
BMTX 5.216000
BMWYY 0.931000
BMY 3.903000
BMY.L 3.903000
BNCC 1.110000
BNCDY 2.042000
BNED 1.155000
BNGO 4.751000
BNL 1.373000
BNPQY 0.646100
BNR.DE 8.507000
BNR 8.507000
BNS 1.639000
BNSO 2.209000
BNTC 3.364000
BNTGY 3.304000
BNTX 16.190000
BOAC 1.420000
BOAS 1.340000
BOCH.L 1.408000
BOCH 1.408000
BOH 2.644000
BOKF 1.215000
BOLT 2.195000
BOMN 1.898000
BOOM.L 4.631000
BOOM 4.631000
BOOT.L 5.778000
BOOT 5.778000
BOREF 3.311000
BORR 0.248000
BOSC 1.470000
BOSSY 4.284000
BOTJ 1.225000
BOWX 1.656000
BOX 24.550000
BOXL 3.034000
BOZTY 6.790000
BP.L 1.170000
BP 1.170000
BP.A.L 1.170000
BP.B.L 1.170000
BPFH 1.475000
BPMC 3.890000
BPOP 1.124000
BPOSY 3.364000
BPRN 0.955700
BPTH 1.262000
BPTS 16.180000
BPY 0.675700
BPYU 0.324400
BQ 16.060000
BR 11.660000
BRBS 1.356000
BRC 3.133000
BRDCY 1.357000
BREZ 5867.550000
BRFS 2.770000
BRID 2.235000
BRKL 1.384000
BRKR 10.870000
BRKS 5.859000
BRLI 1.310000
BRLXF 3.684000
BRMK 1.175000
BRO 3.855000
BROG 7.506000
BRP 6.105000
BRPA 30.840000
BRPM 1.251000
BRTHY 1.197000
BRX 2.502000
BRY 0.735200
BSAC 1.953000
BSBK 1.021000
BSBR 3.179000
BSEFY 1.320000
BSET 1.964000
BSGM 5.991000
BSIG 5.401000
BSM 1.964000
BSMX 1.024000
BSN 1.285000
BSPE 0.257600
BSQR 3.788000
BSRR 1.210000
BSVN 1.513000
BSX 3.795000
BSY 45.030000
BTAI 4.440000
BTAQ 1.301000
BTBT 6.059000
BTCM 3.981000
BTDPY 1.508000
BTG 2.038000
BTI 1.053000
BTLCY 0.837700
BTN 2.188000
BTNB 1.353000
BTRS 6.511000
BTU 0.766200
BTVCY 8.776000
BTWN 38928.860000
BUD 2.199000
BUKS 1.245000
BUR 1.537000
BUR.L 1.537000
BURBY 5.682000
BURL 46.490000
BUSE 1.141000
BV 1.420000
BVHBB 2.419000
BVN 1.076000
BVS 7.132000
BWA 1.937000
BWAY 2.975000
BWB 1.758000
BWEN 1.919000
BWFG 1.194000
BWMX 34.170000
BWXT 9.071000
BX 8.278000
BXBLY 4.273000
BXC 4.009000
BXP 3.151000
BXS 1.176000
BY 1.129000
BYD 5.956000
BYDDY 5.283000
BYFC 3.771000
BYND 34.460000
BYRN 40.410000
BYSI 4.688000
BZH 1.173000
BZLFY 4.113000
BZUN 2.985000
BZZUY 1.224000
C 0.892700
CAAP 2.022000
CAAS 0.436900
CABA 2.700000
CABGY 4.063000
CABO 6.785000
CAC 1.332000
CACC 3.154000
CACI 2.382000
CADE 1.315000
CAG 2.205000
CAH 9.089000
CAHC 1.340000
CAI 1.132000
CAI 1.132000
CAJ 1.030000
CAKE 8.618000
CAL 5.242000
CAL.L 5.242000
CALA 1.832000
CALB 1.121000
CALM 1.694000
CALT 5.903000
CALX 8.973000
CAMP 5.274000
CAMT 6.359000
CAN 23.590000
CANF 5.830000
CANG 0.655900
CAP.PA 1.379000
CAP 1.379000
CAPA 1.518000
CAPC.L 37.870000
CAPC 37.870000
CAPR 2.339000
CARA 2.965000
CARE 1.028000
CARG 6.518000
CARR 6.072000
CARR.L 6.072000
CARS 2.942000
CARV 0.974100
CASA 9.171000
CASH.L 2.015000
CASH 2.015000
CASI 2.222000
CASS 2.571000
CASY 4.225000
CAT 7.996000
CATC 1.476000
CATM 4.470000
CATO 1.412000
CATY 1.344000
CB 1.289000
CBAH 1.081000
CBAN 1.225000
CBAT 3.775000
CBAY 2.276000
CBD 0.818700
CBFV 0.886800
CBGPY 1.809000
CBIO 1.298000
CBKM 0.865800
CBLAQ 0.038800
CBLI 8.624000
CBMB 1.032000
CBNK 1.826000
CBOE 3.454000
CBRE 4.068000
CBRL 5.862000
CBSH 2.746000
CBT 4.428000
CBTX 1.314000
CBU 2.211000
CBWTF 1.741000
CBZ 2.433000
CC 6.970000
CCAC 1.400000
CCAP.L 0.909300
CCAP 0.909300
CCB 2.520000
CCBG 1.378000
CCCC 6.100000
CCEP 3.681000
CCF 3.114000
CCGGY 2.026000
CCHGY 4.105000
CCHWF 4.043000
CCI 9.171000
CCIV 2.563000
CCJ 2.102000
CCK 5.825000
CCL 1.798000
CCL.L 1.798000
CCMP 4.745000
CCNC 3.047000
CCNE 1.142000
CCOEY 7.970000
CCOJY 0.650800
CCRC 1.144000
CCRN 3.390000
CCS 2.006000
CCU 1.814000
CCV 1.362000
CCVI 1.329000
CCX 1.476000
CCXI 2.000000
CD 3.959000
CDAK 6.560000
CDAY 6.190000
CDE 3.737000
CDEV 0.579400
CDEVY 0.830500
CDK 14.110000
CDLX 4.735000
CDMO 14.820000
CDNA 8.974000
CDNS 13.920000
CDR 0.594900
CDTX 52.070000
CDW 20.030000
CDXC 12.970000
CDXS 8.031000
CE 5.259000
CEA 1.009000
CECE 1.326000
CEI 6.534000
CEIX 0.900700
CELC 9.715000
CELH 43.440000
CELJF 1.103000
CEMI 2.773000
CENH 1.313000
CENT 2.621000
CENTA 2.420000
CENX 3.018000
CEO 0.818900
CEPU 0.295700
CERC 7.602000
CERE 5.012000
CERN 5.472000
CERS 10.570000
CERT 4.884000
CETX 0.838400
CEVA 3.907000
CF 3.743000
CFAC 1.338000
CFB 1.210000
CFBK 1.082000
CFFE 1.296000
CFFI 0.924000
CFFN 1.400000
CFG 1.031000
CFIV 1.274000
CFMS 1.818000
CFNB 0.833300
CFPZF 1.513000
CFR.SW 1.860000
CFR 1.860000
CFRUY 3.225000
CFRX 2.529000
CFST 1.839000
CFV 1.272000
CFVI 1.293000
CFX 1.422000
CG 4.423000
CGA 0.436300
CGBD 0.853500
CGC 3.061000
CGEM 2.800000
CGEN 5.963000
CGNX 10.180000
CGRN 41.950000
CGUSY 0.872800
CHAQ 1.335000
CHBAY 0.434400
CHBH 1.008000
CHCI 11.100000
CHCO 1.811000
CHCT 2.560000
CHD 6.515000
CHDN 38.720000
CHDRY 7.260000
CHE 8.506000
CHEF 3.536000
CHEK 3.424000
CHEOY 9.037000
CHFW 23.560000
CHGCY 7.026000
CHGG 8.847000
CHH 349.220000
CHHE 0.372000
CHKP 4.677000
CHMA 4.064000
CHMG 1.107000
CHNG 2.204000
CHNR 3.381000
CHPM 1.277000
CHRA 11.300000
CHRS 7.891000
CHRW 6.911000
CHRYY 3.155000
CHS 3.259000
CHT 2.334000
CHTR 6.226000
CHUY 3.285000
CHX 3.262000
CHYHY 9.983000
CI 1.846000
CIA 1.077000
CIB 0.974300
CIBEY 1.341000
CIBH 0.320700
CIDM 27.600000
CIEN 3.173000
CIH 3.401000
CIHKY 2.099000
CIM 0.907100
CINF 1.747000
CIO 1.448000
CIR 3.910000
CIR.L 3.910000
CIT 1.008000
CIVB 1.058000
CIX 1.657000
CIZN 0.993100
CJJD 1.470000
CJPRY 0.803100
CKHGY 6.476000
CKHUY 0.466100
CKPT 3.742000
CKX 1.523000
CL 270.260000
CLAR 3.499000
CLB.AS 13.420000
CLB 13.420000
CLBEY 1.877000
CLBK 1.907000
CLBS 0.847200
CLCGY 15.760000
CLDB 1.217000
CLDR 3.315000
CLDT 0.915500
CLDX 5.762000
CLEU 3.433000
CLF 4.223000
CLFD 5.787000
CLGN 35.880000
CLGX 7.739000
CLH 3.742000
CLI.L 1.094000
CLI 1.094000
CLII 2.031000
CLIM 1.060000
CLIR 12.800000
CLLS 2.544000
CLNE 3.159000
CLNY 2.801000
CLOK 4.737000
CLOV 5.371000
CLPBY 30.710000
CLPHY 1.746000
CLPS 2.365000
CLPT 8.601000
CLR 1.881000
CLRB 2.218000
CLRM 1.308000
CLRO 0.849500
CLSD 8.712000
CLSK 2.067000
CLSN 1.858000
CLVLY 19.070000
CLVR 3.400000
CLVT 1.930000
CLW 0.894500
CLWD 3.732000
CLWT 1.191000
CLX 29.550000
CLX.L 29.550000
CLXT 6.146000
CLZNY 2.648000
CM 1.764000
CMA 1.416000
CMBM 18.440000
CMC 1.894000
CMCL.L 1.230000
CMCL 1.230000
CMCM 0.570000
CMCO 2.923000
CMCSA 2.854000
CMD 4.600000
CME 2.953000
CMG 18.330000
CMI 4.675000
CMII 1.898000
CMLF 2.398000
CMLS 0.588200
CMP 19.590000
CMPGY 6.586000
CMPI 1.272000
CMPS 7.625000
CMRE 0.968300
CMRX 5.115000
CMS 3.150000
CMSQY 4.253000
CMT 1.183000
CMTL 1.367000
CMTV 1.327000
CMWAY 2.371000
CNA 1.068000
CNA.L 1.068000
CNAF 0.832900
CNBKA 1.664000
CNBX 7.174000
CNC 1.631000
CNCE 1.117000
CNCG 3.573000
CNDT 1.435000
CNET 3.058000
CNEY 3.490000
CNF 0.391600
CNFR 0.688600
CNHI 3.327000
CNI 4.978000
CNIG 1.964000
CNK 5.581000
CNMD 5.485000
CNNB 0.970400
CNNE 0.934900
CNO 0.721600
CNOB 1.171000
CNP 2.293000
CNP.PA 2.293000
CNPAY 0.507200
CNQ 1.553000
CNR 4.656000
CNS 18.630000
CNSL 2.330000
CNSP 4.195000
CNST 2.536000
CNTG 2.853000
CNTY 3.637000
CNX 0.662700
CNXN 1.995000
CO 1.161000
COCP 2.134000
CODA 2.492000
CODI 2.125000
CODX 2.981000
COF 1.190000
COFS 0.928400
COG 2.842000
COG.L 2.842000
COGNY 0.469900
COGT 2.515000
COHN 0.583600
COHR 8.107000
COHU 2.399000
COIHY 6.344000
COIN 22.320000
COKE 6.667000
COLB 1.350000
COLD 2.541000
COLI 1.331000
COLL 4.950000
COLM 3.711000
COMM 19.820000
COMS 1.082000
CONE 3.422000
CONN 1.261000
CONX 1.334000
COO 3.248000
COOP 1.020000
COP 1.745000
COP.DE 1.745000
COR 118.390000
CORE 3.212000
CORT 4.950000
COST.L 10.910000
COST 10.910000
COTY 2.302000
COUP 16.860000
COVTY 1.790000
COWN 0.941100
CP 8.620000
CPA 3.003000
CPAC 1.712000
CPB 4.960000
CPE 2.359000
CPF 1.439000
CPG.L 1.044000
CPHC 1.303000
CPHI 3.649000
CPIX 0.928300
CPK 2.799000
CPKF 1.031000
CPNG 21.920000
CPRI 3.617000
CPRT 9.356000
CPRX 3.223000
CPS 0.890200
CPSH 13.960000
CPSI 2.322000
CPSR 1.266000
CPSS 0.767700
CPT 3.574000
CPTA 0.540200
CPTK 1.297000
CPTP 12.680000
CPUH 1.326000
CQP 37.270000
CR 3.537000
CRAI 2.848000
CRARY 0.303900
CRAWA 2.923000
CRBP 2.787000
CRC.L 2.374000
CRC 2.374000
CRCT 13.400000
CRDF 2.503000
CREE 5.159000
CREG 0.476100
CRESY 1.038000
CREX 3.176000
CRH 2.087000
CRH.L 2.087000
CRHC 1.269000
CRHKY 8.736000
CRI 4.409000
CRIS 10.470000
CRK 1.148000
CRL.L 7.639000
CRL 7.639000
CRLBF 4.639000
CRM 5.272000
CRMD 3.478000
CRMT 2.753000
CRMZ 10.540000
CRNC 3.603000
CRNT 1.909000
CRNX 4.469000
CRON 1.853000
CROX 20.350000
CRRFY 1.372000
CRS 1.707000
CRSA 1.499000
CRSP 4.961000
CRSR 6.143000
CRSS 10.180000
CRT 7.881000
CRTD 20.580000
CRTO 2.063000
CRTPF 8.126000
CRTX 8.414000
CRU 1.351000
CRU.L 1.351000
CRUS 3.215000
CRVL 10.540000
CRVS 1.128000
CRWD 57.750000
CRWS 1.809000
CRY 3.841000
CRZBY 0.309100
CS.PA 0.556400
CS 0.556400
CSBB 1.130000
CSBR 16.680000
CSCO 5.557000
CSCW 5.142000
